0,41,56,734
5,41,56,734
10,41,56,734
15,41,53,734
20,23,52,734
25,23,52,734
30,24,52,734
35,23,52,734
40,23,52,734
45,24,51,734
50,23,51,734
55,24,51,734
60,24,51,734
65,24,51,734
70,24,50,734
75,24,50,734
80,24,50,733
85,24,50,733
90,24,50,733
95,24,49,733
100,24,49,733
105,24,49,733
110,24,49,733
115,22,49,732
120,25,49,732
125,25,49,732
130,25,49,732
135,26,49,732
140,27,49,729
145,27,49,728
150,28,49,726
155,30,49,724
160,33,48,722
165,38,49,719
170,39,49,719
175,46,49,716
180,51,49,714
185,56,49,711
190,60,49,708
195,65,50,706
200,66,49,705
205,70,49,703
210,73,49,703
215,78,50,700
220,81,49,699
225,88,50,696
230,91,50,694
235,95,50,693
240,94,50,692
245,98,50,690
250,102,50,688
255,105,50,686
260,106,50,684
265,106,49,681
270,105,50,681
275,102,50,678
280,100,49,678
285,97,49,674
290,96,48,674
295,91,48,670
300,89,48,669
305,86,48,665
310,84,48,663
315,84,48,661
320,84,48,658
325,85,48,655
330,87,49,652
335,87,49,652
340,90,49,648
345,93,49,646
350,98,49,644
355,103,49,642
360,109,49,639
365,109,49,638
370,112,49,635
375,113,49,633
380,115,49,631
385,115,49,629
390,114,48,626
395,114,49,624
400,113,48,621
405,114,49,619
410,113,48,617
415,113,49,614
420,115,49,613
425,115,49,609
430,115,49,609
435,113,49,608
440,112,49,604
445,112,49,602
450,112,49,600
455,112,50,597
460,116,51,594
465,120,52,593
470,124,53,591
475,129,54,589
480,135,54,588
485,139,54,586
490,142,54,584
495,147,55,581
500,150,55,578
505,151,57,576
510,153,57,573
515,157,58,570
520,158,58,568
525,167,58,565
530,168,58,562
535,172,58,560
540,174,58,558
545,177,58,556
550,182,58,554
555,186,58,552
560,187,58,550
565,193,57,547
570,198,57,545
575,206,58,542
580,216,58,539
585,220,58,537
590,233,59,535
595,239,59,533
600,251,60,531
605,259,61,528
610,256,61,526
615,252,61,524
620,245,61,521
625,234,61,520
630,212,71,517
635,186,92,514
640,158,114,512
645,129,144,509
650,103,176,507
655,79,206,504
660,65,233,501
665,59,249,499
670,54,256,496
675,53,262,495
680,52,264,492
685,50,258,489
690,50,255,488
695,49,242,484
700,48,236,481
705,49,231,478
710,48,230,478
715,48,223,475
720,49,222,472
725,48,222,470
730,49,217,467
735,49,212,464
740,49,205,462
745,48,195,459
750,49,180,457
755,49,173,454
760,49,166,451
765,48,158,448
770,48,156,445
775,47,156,442
780,46,156,439
785,46,156,435
790,46,153,433
795,47,146,430
800,47,138,428
805,46,129,425
810,45,121,423
815,43,115,420
820,42,112,418
825,41,109,416
830,41,109,413
835,40,109,410
840,40,108,406
845,40,104,403
850,40,99,400
855,40,97,397
860,39,96,394
865,39,94,391
870,39,94,388
875,40,92,385
880,41,92,383
885,41,93,381
890,43,95,378
895,43,95,375
900,44,94,371
905,44,95,368
910,44,96,365
915,44,99,362
920,45,101,360
925,45,102,357
930,45,104,355
935,46,102,352
940,46,100,349
945,46,96,345
950,46,94,344
955,46,89,341
960,46,87,338
965,47,85,335
970,47,83,332
975,47,80,329
980,47,77,327
985,47,75,324
990,47,71,321
